GPU,Queue,Graph,Vertices,Edges,Threads,Block,Time_med_s,Time_iqr_s,TEPS_med_Gedges/s,TEPS_iqr_Gedges/s
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,1024,256,31686.3,294.464,0.00317955,2.9425e-05
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,2048,256,43858,405.81,0.00229677,2.14766e-05
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,4096,256,75689.1,189.476,0.00133052,3.39955e-06
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,8192,256,165476,49.5347,0.000608455,2.02689e-07
MI300A,SFQ,roadNet-CA.mtx,1971281,5533214,512,256,3390.39,56.2343,0.00163255,2.7334e-05
MI300A,SFQ,roadNet-CA.mtx,1971281,5533214,1024,256,3723.01,5.43664,0.00148644,2.35273e-06
MI300A,SFQ,roadNet-CA.mtx,1971281,5533214,2048,256,5407.97,21.9927,0.00102261,4.05572e-06
MI300A,SFQ,roadNet-CA.mtx,1971281,5533214,4096,256,10087,41.9356,0.000547961,2.28675e-06
MI300A,SFQ,roadNet-CA.mtx,1971281,5533214,8192,256,19668.8,120.125,0.000280851,1.70117e-06
MI300A,SFQ,road_usa.mtx,23947347,57708624,512,256,39431.1,10.0205,0.00146697,1.00136e-06
MI300A,SFQ,hollywood-2009.mtx,1139905,112751422,512,256,1719.22,29.0418,0.0655188,0.00110485
MI300A,SFQ,hollywood-2009.mtx,1139905,112751422,1024,256,1831.21,6.17158,0.0615062,0.000207618
MI300A,SFQ,hollywood-2009.mtx,1139905,112751422,2048,256,2569.71,75.9468,0.0438306,0.00126667
MI300A,SFQ,kron_g500-logn21.mtx,2097152,182081864,512,256,2691.55,6.15926,0.0676614,0.000153738
MI300A,SFQ,kron_g500-logn21.mtx,2097152,182081864,1024,256,2759.04,2.99401,0.0660036,7.02852e-05
MI210,SFQ,ak2010.mtx,45292,217098,512,256,35.3341,0.179742,0.00593863,2.51041e-05
MI210,SFQ,ak2010.mtx,45292,217098,1024,256,28.5107,0.08602,0.00736697,1.84706e-05
MI210,SFQ,ak2010.mtx,45292,217098,2048,256,25.5044,0.020141,0.0082713,1.44844e-05
MI210,SFQ,ak2010.mtx,45292,217098,4096,256,25.2871,0.049681,0.00832776,1.36247e-05
MI210,SFQ,ak2010.mtx,45292,217098,8192,256,29.6691,0.101251,0.00706093,1.6035e-05
MI210,SFQ,belgium_osm.mtx,1441295,3099940,512,256,1119.35,0.482451,0.00281265,1.68799e-06
MI210,SFQ,belgium_osm.mtx,1441295,3099940,1024,256,898.939,0.298562,0.0035187,4.28339e-07
MI210,SFQ,belgium_osm.mtx,1441295,3099940,2048,256,784.638,0.248465,0.00404384,7.6739e-07
MI210,SFQ,belgium_osm.mtx,1441295,3099940,4096,256,781.243,0.356445,0.00406297,9.64233e-07
MI210,SFQ,belgium_osm.mtx,1441295,3099940,8192,256,936.903,0.628568,0.0033749,3.21201e-06
MI210,SFQ,delaunay_n24.mtx,16777216,100663202,512,256,12689.5,4.48876,0.00795007,2.59382e-06
MI210,SFQ,delaunay_n24.mtx,16777216,100663202,1024,256,9905.21,0.628132,0.010188,5.32738e-07
MI210,SFQ,delaunay_n24.mtx,16777216,100663202,2048,256,8273.92,0.610866,0.0121983,5.34504e-07
MI210,SFQ,delaunay_n24.mtx,16777216,100663202,4096,256,7992.14,1.5859,0.0126292,2.08293e-06
MI210,SFQ,delaunay_n24.mtx,16777216,100663202,8192,256,9145.76,11.6264,0.0110316,1.54036e-05
MI210,SFQ,roadNet-CA.mtx,1971281,5533214,512,256,1456.35,0.261343,0.00381025,1.36604e-06
